"Average scale scores for grade 4 mathematics, by all students [TOTAL] and jurisdiction: 2022, 2019, 2003, and 1990",,,,
Year,Jurisdiction,All students,Average scale score,https://www.nationsreportcard.gov/mathematics/states/scores/?grade=4
2022,National public,All students,235,
,Alabama,All students,230,
,Alaska,All students,226,
,Arizona,All students,232,
,Arkansas,All students,228,
,California,All students,230,
,Colorado,All students,236,
,Connecticut,All students,236,
,Delaware,All students,226,
,District of Columbia,All students,223,
,DoDEA,All students,250,
,Florida,All students,241,
,Georgia,All students,235,
,Hawaii,All students,237,
,Idaho,All students,236,
,Illinois,All students,237,
,Indiana,All students,239,
,Iowa,All students,240,
,Kansas,All students,235,
,Kentucky,All students,234,
,Louisiana,All students,229,
,Maine,All students,233,
,Maryland,All students,229,
,Massachusetts,All students,242,
,Michigan,All students,232,
,Minnesota,All students,239,
,Mississippi,All students,234,
,Missouri,All students,232,
,Montana,All students,239,
,Nebraska,All students,242,
,Nevada,All students,229,
,New Hampshire,All students,239,
,New Jersey,All students,239,
,New Mexico,All students,221,
,New York,All students,227,
,North Carolina,All students,236,
,North Dakota,All students,240,
,Ohio,All students,238,
,Oklahoma,All students,229,
,Oregon,All students,228,
,Pennsylvania,All students,238,
,Puerto Rico,All students,178,
,Rhode Island,All students,234,
,South Carolina,All students,234,
,South Dakota,All students,239,
,Tennessee,All students,236,
,Texas,All students,239,
,Utah,All students,240,
,Vermont,All students,234,
,Virginia,All students,236,
,Washington,All students,235,
,West Virginia,All students,226,
,Wisconsin,All students,240,
,Wyoming,All students,243,
2019,National public,All students,240,
,Alabama,All students,230,
,Alaska,All students,232,
,Arizona,All students,238,
,Arkansas,All students,233,
,California,All students,235,
,Colorado,All students,242,
,Connecticut,All students,243,
,Delaware,All students,239,
,District of Columbia,All students,235,
,DoDEA,All students,250,
,Florida,All students,246,
,Georgia,All students,238,
,Hawaii,All students,239,
,Idaho,All students,242,
,Illinois,All students,237,
,Indiana,All students,245,
,Iowa,All students,241,
,Kansas,All students,239,
,Kentucky,All students,239,
,Louisiana,All students,231,
,Maine,All students,241,
,Maryland,All students,239,
,Massachusetts,All students,247,
