State,Breve,4th Grade Math Avg,8th Grade Math Avg,Avg Income Per Capita
Alabama,AL,230,264,50637
Alaska,AK,226,270,68919
Arizona,AZ,232,271,56667
Arkansas,AR,228,267,51787
California,CA,230,270,77339
Colorado,CO,236,275,74167
Connecticut,CT,236,276,84972
Delaware,DE,226,264,61387
District of Columbia,DC,223,260,96728
Florida,FL,241,271,63597
Georgia,GA,235,271,57129
Hawaii,HI,237,270,61175
Idaho,ID,236,282,54537
Illinois,IL,237,275,68822
Indiana,IN,239,279,57930
Iowa,IA,240,277,58905
Kansas,KS,235,272,60152
Kentucky,KY,234,269,52109
Louisiana,LA,229,266,54622
Maine,ME,233,273,59463
Maryland,MD,229,269,70730
Massachusetts,MA,242,284,84945
Michigan,MI,232,273,56813
Minnesota,MN,239,280,68010
Mississippi,MS,234,266,46248
Missouri,MO,232,272,56551
Montana,MT,239,277,57719
Nebraska,NE,242,279,63321
Nevada,NV,229,269,61282
New Hampshire,NH,239,279,74663
New Jersey,NJ,239,281,78700
New Mexico,NM,221,259,51500
New York,NY,227,274,78089
North Carolina,NC,236,274,57416
North Dakota,ND,240,278,66184
Ohio,OH,238,276,57880
Oklahoma,OK,229,264,54998
Oregon,OR,228,270,62767
Pennsylvania,PA,238,274,65167
Rhode Island,RI,234,270,65377
South Carolina,SC,234,269,53320
South Dakota,SD,239,281,65806
Tennessee,TN,236,272,58279
Texas,TX,239,273,61985
Utah,UT,240,282,57925
Vermont,VT,234,276,63206
Virginia,VA,236,279,68211
Washington,WA,235,276,75698
West Virginia,WV,226,260,49169
Wisconsin,WI,240,281,61210
Wyoming,WY,243,281,71342
